file_id,drive_url,file_name,detected_company,document_category,document_type,year_or_period,confidence,matched_by,recommended_folder,status,remarks
1bQpmWgMN8fAs8ynxUlnUSpZfBqZ-R65k,https://drive.google.com/file/d/1bQpmWgMN8fAs8ynxUlnUSpZfBqZ-R65k,Copy of AUDIT & TAX REPORT UPDATED.xlsx,UNKNOWN,FINANCIAL,AUDIT_TAX_REPORT,UNKNOWN,MEDIUM,filename,"99_UNSORTED_REVIEW",REVIEW_REQUIRED,"Master/combined financial file. Need sheet inspection before company assignment."
118YROYqo8os6CQxmjpUxXdYUaNLLENnueZ8Ir7Qu2G0,https://docs.google.com/spreadsheets/d/118YROYqo8os6CQxmjpUxXdYUaNLLENnueZ8Ir7Qu2G0,Copy of PROGRESS AUDIT REPORT,UNKNOWN,FINANCIAL,PROGRESS_AUDIT_REPORT,UNKNOWN,MEDIUM,filename,"99_UNSORTED_REVIEW",REVIEW_REQUIRED,"Could be multi-company progress audit. Need content extraction."
1xHIKDMpWlba-s_ahxwjxC72Z_aQzZw_i,https://drive.google.com/file/d/1xHIKDMpWlba-s_ahxwjxC72Z_aQzZw_i,Copy of BQ MBSJ (CONTOH).xlsx,UNKNOWN,COMMERCIAL,BOQ_SAMPLE,UNKNOWN,LOW,filename,"99_UNSORTED_REVIEW",REVIEW_REQUIRED,"Sample BOQ; not company evidence unless linked to a company/tender."
1f1dl_Ct2I_zbVAmuJsPDlzISTYfM1CUX,https://drive.google.com/file/d/1f1dl_Ct2I_zbVAmuJsPDlzISTYfM1CUX,Copy of BQ MBSJ - IMZ VICTORY SDN BHD.xlsx,IMZ VICTORY,COMMERCIAL,BOQ,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/IMZ VICTORY/06_TENDER_SUBMISSION",READY_FOR_MOVE_REVIEW,"Company detected from filename."
1JguxNMjGin8ZribMBN0jz2D5LjzvLTVe,https://drive.google.com/file/d/1JguxNMjGin8ZribMBN0jz2D5LjzvLTVe,case study loan to director.pdf,UNKNOWN,FINANCIAL,CASE_STUDY,UNKNOWN,LOW,filename,"99_UNSORTED_REVIEW",REVIEW_REQUIRED,"General case study; may not belong to company file."
18_d4KFYniapRgXjyRGqnRhOS9-Kb99T9,https://drive.google.com/file/d/18_d4KFYniapRgXjyRGqnRhOS9-Kb99T9,co status for approval.pdf,UNKNOWN,COMPANY_PROFILE,COMPANY_STATUS_APPROVAL,UNKNOWN,LOW,filename,"99_UNSORTED_REVIEW",REVIEW_REQUIRED,"Company not clear from filename."
1jTE_XTj7-JpFbbUmopzHr0MzL59tua0m,https://drive.google.com/file/d/1jTE_XTj7-JpFbbUmopzHr0MzL59tua0m,Smart Masterpiece Tax Booklet -  2025.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/SMART MASTERPIECE SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1TfJasov7tQePpknFVj1bUBGC9t42_uoP,https://drive.google.com/file/d/1TfJasov7tQePpknFVj1bUBGC9t42_uoP,LFLegacy 2025 Tax Booklet - .pdf,LF LEGACY SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1lkQJhlkzWATyQ3ATDj5c8IY_fv-uqdTY,https://drive.google.com/file/d/1lkQJhlkzWATyQ3ATDj5c8IY_fv-uqdTY,smartmasterpiece PNL.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/SMART MASTERPIECE SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
1ltSMYUPSSdSuteu4iuwHiPatvj-4xVwl,https://drive.google.com/file/d/1ltSMYUPSSdSuteu4iuwHiPatvj-4xVwl,smartmasterpiece BAL SHEET.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/SMART MASTERPIECE SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1XnOBFBFjc4UjzjMPQS84ukF3El_5fvOJ,https://drive.google.com/file/d/1XnOBFBFjc4UjzjMPQS84ukF3El_5fvOJ,Lubuk Permata Tax Booklet -  2024.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,TAX_BOOKLET,2024,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LUBUK PERMATA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1LyDNXdgcvfQ0zgUtAnMCa5-FzHf8xEx9,https://drive.google.com/file/d/1LyDNXdgcvfQ0zgUtAnMCa5-FzHf8xEx9,rms Tax Booklet - RMS Binajaya 2025.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/RMS BINA JAYA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1oCUny-nLD2EUN7Mudwha1I-fYg425qTt,https://drive.google.com/file/d/1oCUny-nLD2EUN7Mudwha1I-fYg425qTt,rms PNL.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/RMS BINA JAYA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
1m9QufTzUCp6FMiphbyesPa8mty53F8ho,https://drive.google.com/file/d/1m9QufTzUCp6FMiphbyesPa8mty53F8ho,Kenanga Lestari PNL.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KENANGA LESTARI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
1lWu5i9EMuQLmLJjAISWbUsKwWKEX6fI4,https://drive.google.com/file/d/1lWu5i9EMuQLmLJjAISWbUsKwWKEX6fI4,rms lejer.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/RMS BINA JAYA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1mj2mlZBTtmVcPFTl1YAENbCQ-2DyaMBH,https://drive.google.com/file/d/1mj2mlZBTtmVcPFTl1YAENbCQ-2DyaMBH,rms bal sheet.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/RMS BINA JAYA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
12MxCLXAkjtH7QeVqgU6_aoU27kGqZ9U2,https://drive.google.com/file/d/12MxCLXAkjtH7QeVqgU6_aoU27kGqZ9U2,KilauanSutera2025Tax Booklet - .pdf,KILAUAN SUTERA SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KILAUAN SUTERA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1z2XF2hMv8yaAtDHqqlPZ43d0G4SfBfIs,https://drive.google.com/file/d/1z2XF2hMv8yaAtDHqqlPZ43d0G4SfBfIs,bestari anggun BAL SHEET.pdf,BESTARI ANGGUN SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/BESTARI ANGGUN SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1fTmUDHQtQfO8WSc50Cu5yl5GUvEliLt8,https://drive.google.com/file/d/1fTmUDHQtQfO8WSc50Cu5yl5GUvEliLt8,lubuk permata PNL.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LUBUK PERMATA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
1mBfH0IIjVdkspJzDS-puCI2p6rwEqnUi,https://drive.google.com/file/d/1mBfH0IIjVdkspJzDS-puCI2p6rwEqnUi,akrabserasi BAL SHEET.pdf,AKRAB SERASI SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/AKRAB SERASI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1JWX0pNOmG8Bg3nfW64r2Sr3LZ7LstaZi,https://drive.google.com/file/d/1JWX0pNOmG8Bg3nfW64r2Sr3LZ7LstaZi,lubuk permata BAL SHEET.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LUBUK PERMATA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1xBW4ss8vXeiI_AA_dvNykFEKyUkCzqqR,https://drive.google.com/file/d/1xBW4ss8vXeiI_AA_dvNykFEKyUkCzqqR,Kenanga Lestari LEJER.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KENANGA LESTARI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1uAWhI1rkiZ56cN0pjcca94R1Z8QofgBz,https://drive.google.com/file/d/1uAWhI1rkiZ56cN0pjcca94R1Z8QofgBz,lflegacyPNL.pdf,LF LEGACY SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
19zW5L7Jrp7qwbp3BCOYv0ssLT4zdKRp9,https://drive.google.com/file/d/19zW5L7Jrp7qwbp3BCOYv0ssLT4zdKRp9,lflegacyLejer.pdf,LF LEGACY SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1-nNvwtjfzHvRMwA4-WGXS0nr8kro9-ZO,https://drive.google.com/file/d/1-nNvwtjfzHvRMwA4-WGXS0nr8kro9-ZO,akrabserasiLEJER.pdf,AKRAB SERASI SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/AKRAB SERASI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1UJhs1eKOSCG26l4OdSnOb_0dUwkdzgYY,https://drive.google.com/file/d/1UJhs1eKOSCG26l4OdSnOb_0dUwkdzgYY,Kenanga Lestari Tax Booklet - 2025 latest.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KENANGA LESTARI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1E57XTlMQ1TX-Q5zCanSReyvQePs53tvo,https://drive.google.com/file/d/1E57XTlMQ1TX-Q5zCanSReyvQePs53tvo,lf legacyBAL SHEET.pdf,LF LEGACY SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
